"file","function_name","tag","seconds"
"rfe.R","rfe","@examplesIf !caret:::is_cran_check()",558.509
"gafs.R","gafs.default","@examplesIf !caret:::is_cran_check()",23.725
"selectByFilter.R","sbfControl","@examplesIf !caret:::is_cran_check()",16.054
"rfe.R","plot.rfe","@examplesIf !caret:::is_cran_check()",15.478
"selectByFilter.R","sbf","@examplesIf !caret:::is_cran_check()",14.943
"train.default.R",NA,"@examplesIf !caret:::is_cran_check()",8.56099999999992
"selection.R","oneSE","@examplesIf !caret:::is_cran_check()",8.33500000000004
"gafs.R","plot.gafs","@examplesIf !caret:::is_cran_check()",7.343
"trainControl.R","trainControl","@examplesIf !caret:::is_cran_check()",3.22000000000003
"thresholder.R","thresholder","@examplesIf !caret:::is_cran_check()",2.15300000000002
"plot.train.R","plot.train","@examplesIf !caret:::is_cran_check()",1.629
"learning_curve.R","learning_curve_dat","@examplesIf !caret:::is_cran_check()",1.59
"print.train.R","print.train","@examplesIf !caret:::is_cran_check()",1.449
"plotClassProbs.R","plotClassProbs","@examplesIf !caret:::is_cran_check()",1.083
"resamples.R","xyplot.resamples","@examplesIf !caret:::is_cran_check()",0.975000000000001
"plotObsVsPred.R","plotObsVsPred","@examplesIf !caret:::is_cran_check()",0.969000000000001
"resamples.R","prcomp.resamples","@examplesIf !caret:::is_cran_check()",0.908000000000001
"resamples.R","dotplot.diff.resamples","@examplesIf !caret:::is_cran_check()",0.82
"resamples.R","diff.resamples","@examplesIf !caret:::is_cran_check()",0.808
"resamples.R","resamples","@examplesIf !caret:::is_cran_check()",0.790999999999997
"avNNet.R","avNNet","@examplesIf !caret:::is_cran_check()",0.626
"gafs.R","predict.gafs","@examplesIf !caret:::is_cran_check()",0.507
"safs.R","update.safs","@examplesIf !caret:::is_cran_check()",0.488999999999919
"safs.R","safs","@examplesIf !caret:::is_cran_check()",0.474000000000046
"confusionMatrix.R","confusionMatrix.train","@examples",0.398
"lattice.train.R","histogram.train","@examplesIf !caret:::is_cran_check()",0.390999999999998
"updates.R","update.train","@examplesIf !caret:::is_cran_check()",0.365000000000009
"bagFDA.R","bagFDA","@examples",0.354
"plsda.R","plsda","@examplesIf !caret:::is_cran_check()",0.274999999999999
"rfe.R","densityplot.rfe","@examplesIf !caret:::is_cran_check()",0.269999999999982
"bagEarth.R","predict.bagEarth","@examplesIf !caret:::is_cran_check()",0.199
"calibration.R","calibration","@examplesIf !caret:::is_cran_check()",0.198
"bag.R","bag","@examples",0.193
"resampleHist.R","resampleHist","@examplesIf !caret:::is_cran_check()",0.170000000000002
"dotplot.varImp.train.R","dotPlot","@examples",0.17
"modelLookup.R","modelLookup","@examplesIf !caret:::is_cran_check()",0.113999999999997
"bagEarth.R","summary.bagEarth","@examplesIf !caret:::is_cran_check()",0.0750000000000002
"lift.R","lift","@examples",0.0670000000000002
"nearZeroVar.R","nearZeroVar","@examples",0.0640000000000001
"bagEarth.R","bagEarth","@examplesIf !caret:::is_cran_check()",0.0619999999999998
"icr.R","icr.formula","@examples",0.0510000000000019
"preProcess.R","preProcess","@examplesIf !caret:::is_cran_check()",0.0500000000000043
"lift.R","panel.lift2","@examples",0.0480000000000018
"filterVarImp.R","filterVarImp","@examples",0.0339999999999998
"maxDissim.R","maxDissim","@examples",0.0229999999999961
"postResample.R","postResample","@examples",0.0210000000000008
"safs.R","safs_initial","@examplesIf !caret:::is_cran_check()",0.0209999999999582
"pcaNNet.R","pcaNNet","@examples",0.0159999999999982
"knnreg.R","knnreg","@examples",0.0110000000000028
"sensitivity.R","sensitivity.default","@examplesIf !caret:::is_cran_check()",0.00900000000001455
"BoxCoxTrans.R","BoxCoxTrans","@examples",0.00900000000000034
"createDataPartition.R","createDataPartition","@examples",0.00899999999999945
"caret-package.R",NA,"@examples",0.00800000000000045
"confusionMatrix.R","confusionMatrix.default","@examples",0.00800000000000001
"featurePlot.R","featurePlot","@examples",0.00700000000000056
"format.bagEarth.R","format.bagEarth","@examples",0.00699999999999967
"dummyVar.R","dummyVars","@examples",0.00600000000000023
"sampling.R","downSample","@examples",0.00599999999997181
"confusionMatrix.R","as.matrix.confusionMatrix","@examples",0.00400000000000045
"caret-package.R",NA,"@examples",0.004
"spatialSign.R","spatialSign","@examples",0.00300000000004275
"findCorrelation.R","findCorrelation","@examples",0.00300000000000011
"knn3.R","knn3.default","@examples",0.00300000000000011
"rfe.R",NA,"@examples",0.00200000000006639
"common_code.R","index2vec","@examples",0.00100000000000033
"findLinearCombos.R","findLinearCombos","@examples",0.00100000000000033
"gafs.R","gafs_initial","@examplesIf !caret:::is_cran_check()",0.00100000000000033
"misc.R","var_seq","@examples",0.000999999999997669
"prec_rec.R","recall","@examples",0.000999999999997669
"resampleSummary.R","resampleSummary","@examples",0.000999999999997669
"selectByFilter.R","nullModel","@examples",0.000999999999976353
"twoClassSim.R","twoClassSim","@examples",0.000999999999976353
"classDist.R","classDist","@examples",-1
"predict.train.R","predict.train","@examplesIf !caret:::is_cran_check()",-1
"rfe.R","rfeControl","@examplesIf !caret:::is_cran_check()",-1
